titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais
Flores para Algernon,Daniel Keyes,288,Literatura Estrangeira / Romance / Ficção científica ,4.5,53899,10865,1966,M,Estados Unidos,USA
Klara e o sol,Kazuo Ishiguro,336,Ficção / Literatura Estrangeira / Romance ,3.9,757,50,2021,M,Reino Unido,GBR
Rilla de Ingleside,L. M. Montgomery,320,Aventura / Infantojuvenil / Literatura Estrangeira / Romance ,4.3,4482,486,1921,F,Canadá,CAN
Persépolis,Marjane Satrapi,352,"Biografia, Autobiografia, Memórias / HQ, comics, mangá ",4.6,26364,4264,2000,F,Irã,IRN
Harry Potter e o Cálice de Fogo,J.K. Rowling,584,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,511086,39610,2000,F,Reino Unido,GBR
O Profeta,Khalil Gibran,96,Ensaios / Literatura Estrangeira / Religião e Espiritualidade / Filosofia / Romance ,4.2,5678,602,1923,M,Líbano,LBN
Cartas de um Diabo a seu Aprendiz,C. S. Lewis,208,Ficção / Filosofia / Literatura Estrangeira / Religião e Espiritualidade / Romance ,4.4,13973,1452,1942,M,Irlanda,IRL
E Não Sobrou Nenhum,Agatha Christie,400,Romance policial / Ficção ,4.5,79200,9912,1939,F,Reino Unido,GBR
O Caderninho de Desafios de Dash & Lily,David Levithan,256,Jovem adulto / Romance ,3.8,1947,102,2016,M,Estados Unidos,USA
Fernão Capelo Gaivota,Richard Bach,80,Contos / Literatura Estrangeira ,3.9,16398,1029,1970,M,Estados Unidos,USA
As coisas que você só vê quando desacelera,Haemin Sunim,256,Literatura Estrangeira / Religião e Espiritualidade / Autoajuda / Não-ficção ,4.1,13630,868,2012,M,Coreia do Sul,KOR
Um Conto de Natal,Charles Dickens,121,Fantasia / Ficção / Literatura Estrangeira ,4.2,15058,1271,1843,M,Reino Unido,GBR
1984,George Orwell,336,Distopia / Ficção científica ,4.5,158972,17182,1949,M,Reino Unido,GBR
Mulheres que Correm com os Lobos,Clarissa Pinkola Estés,576,História / Literatura Estrangeira / Psicologia / Sociologia ,4.3,12689,1905,1992,F,Estados Unidos,USA
Cristianismo Puro e Simples,C. S. Lewis,288,Literatura Estrangeira ,4.6,13656,2262,1952,M,Irlanda,IRL
O Sol é Para Todos,Harper Lee,364,Ficção / Literatura Estrangeira ,4.6,51216,9014,1960,F,Estados Unidos,USA
A Preparação do Ator,Constantin Stanislavski,366,Artes ,4.4,1102,74,1936,M,Rússia,RUS
O Castelo Animado,Diana Wynne Jones,368,Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira ,4.5,12982,2819,1986,F,Reino Unido,GBR
O Homem Mais Feliz do Mundo,Eddie Jaku,224,"Biografia, Autobiografia, Memórias / História Geral / Literatura Estrangeira / Não-ficção ",4.7,353,38,2019,M,Austrália,AUS
A Biblioteca da Meia-Noite,Matt Haig,308,Ficção / Literatura Estrangeira / Romance ,4.3,49138,6591,2018,M,Reino Unido,GBR
Antes que o café esfrie,Toshikazu Kawaguchi,208,Ficção / Literatura Estrangeira / Romance / Suspense e Mistério ,3.9,4007,295,2015,M,Japão,JPN
Um estudo em vermelho,Sir Arthur Conan Doyle,176,Ficção ,4.0,3028,106,1887,M,Reino Unido,GBR
Anna Kariênina,Leon Tolstói,808,Ficção / Literatura Estrangeira / Romance / Drama ,4.5,6837,1414,1877,M,Rússia,RUS
A Bandeira do Elefante e da Arara (Romance),Christopher Kastensmidt,326,Aventura / Fantasia / Ficção / História do Brasil / Literatura Brasileira / Romance / Suspense e Mistério ,3.9,89,4,2017,M,Estados Unidos,USA
A Espera,Lygia Fagundes Telles,25,Contos / Literatura Brasileira ,3.6,2057,17,1953,F,Brasil,BRA
O Grande Livro de Símbolos,Claudio Blanc,148,Esoterismo / Religião e Espiritualidade ,3.4,13,0,2017,M,Brasil,BRA
O amanhã não está à venda,Ailton Krenak,22,Não-ficção ,4.3,13036,295,2018,M,Brasil,BRA
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling,348,Fantasia / Aventura / Literatura Estrangeira / Ficção / Infantojuvenil ,4.7,556726,52482,1999,F,Reino Unido,GBR
Fahrenheit 451,Ray Bradbury,216,Distopia / Ficção científica / Literatura Estrangeira ,4.1,69272,6120,1953,M,Estados Unidos,USA
Minha querida Sputnik,Haruki Murakami,232,Ficção / Literatura Estrangeira / Romance ,4.0,4107,387,1999,M,Japão,JPN
O Morro dos Ventos Uivantes,Emily Brontë,362,Ficção / Romance / Literatura Estrangeira ,4.0,157040,14411,1847,F,Reino Unido,GBR
A Viagem de Théo,Catherine Clément,625,Literatura Estrangeira / Ficção / Religião e Espiritualidade / Romance ,4.1,3056,311,1997,F,França,FRA
Diga aos Lobos Que Estou em Casa,Carol Rifka Brunt,464,Literatura Estrangeira ,4.2,1914,355,2012,F,Estados Unidos,USA
Anne de Ingleside,L. M. Montgomery,336,Infantojuvenil / Literatura Estrangeira / Romance ,3.9,13024,332,1939,F,Canadá,CAN
Harry Potter e a Câmara Secreta,J.K. Rowling,252,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,604734,38165,1998,F,Reino Unido,GBR
O Labirinto do Fauno,Guillermo del Toro,320,Fantasia / Ficção / Literatura Estrangeira ,4.4,14271,2072,2006,M,México,MEX
Harry Potter and the Philosopher's Stone,J.K. Rowling,332,Fantasia / Infantojuvenil ,4.7,6965,1143,1997,F,Reino Unido,GBR
O Deus que destrói sonhos,Rodrigo Bibo,160,Religião e Espiritualidade ,4.5,5332,412,2019,M,Brasil,BRA
A Vila,Ana Carolina Kherlakian,176,Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia ,3.9,192,15,2019,F,Brasil,BRA
Crime e Castigo,Fiódor Dostoiévski,572,Literatura Estrangeira / Ficção / Romance ,4.6,43898,6278,1866,M,Rússia,RUS
Antropoceno,John Green,384,Ensaios / Literatura Estrangeira / Não-ficção ,4.1,1201,98,2021,M,Estados Unidos,USA
As Crônicas de Nárnia,C. S. Lewis,752,Aventura / Crônicas / Fantasia / Ficção / Infantojuvenil / Literatura Estrangeira / Infantil ,4.5,211061,20291,1950,M,Reino Unido,GBR
A Luz que Há Entre Nós,Thaís Fernandez,17,Contos / Romance ,3.3,4168,23,2019,F,Brasil,BRA
As infinitas vidas de Dylan Reynolds,Sarah Pires Barreirinhas,195,Ficção / Literatura Brasileira / Romance,4.3,31,12,2019,F,Brasil,BRA
O milagre da vela de Natal,Cinthia Wüstenhagen,14,Contos / Romance ,4.0,119,4,2019,F,Brasil,BRA
Anne e a Casa dos Sonhos,L. M. Montgomery,256,Infantojuvenil ,4.2,15460,929,1917,F,Canadá,CAN
Anne de Windy Poplars,L. M. Montgomery,288,Ficção / Infantojuvenil / Literatura Estrangeira / Romance ,3.6,18631,404,1936,F,Canadá,CAN
Memórias de um Pretinho de Angola,Suely Cyrino,298,"Biografia, Autobiografia, Memórias ",4.2,1,0,2009,F,Brasil,BRA
Anne de Avonlea,L. M. Montgomery,288,Infantojuvenil / Literatura Estrangeira ,4.0,35291,1300,1909,F,Canadá,CAN
Anne da Ilha,L. M. Montgomery,256,Ficção / Infantil / Infantojuvenil / Literatura Estrangeira / Romance ,4.2,28287,1738,1915,F,Canadá,CAN
Memórias de um Exu Sete Catacumbas,Suely Cyrino,194,"Biografia, Autobiografia, Memórias ",4.6,8,2,2006,F,Brasil,BRA
Anne de Green Gables,L. M. Montgomery,336,Romance / Literatura Estrangeira / Ficção ,4.2,68191,5801,1908,F,Canadá,CAN
O Conto da Aia,Margaret Atwood,368,Distopia / Ficção / Literatura Estrangeira ,4.3,63969,7067,1985,F,Canadá,CAN
Torto arado,Itamar Vieira Junior,264,Ficção / Literatura Brasileira / Romance ,4.6,31795,4429,2019,M,Brasil,BRA
Uma Prova de Amor,Emily Giffin,432,Ficção / Filosofia / Literatura Estrangeira / Psicologia / Romance / Sociologia ,3.8,3634,250,2005,F,Estados Unidos,USA
A Garota No Trem,Paula Hawkins,378,Literatura Estrangeira / Ficção / Romance policial / Suspense e Mistério ,4.0,53307,3511,2015,F,Reino Unido,GBR
Sonhos Lúcidos ,Dylan Tuccillo,256,Não-ficção,4.0,458,38,2009,M,Estados Unidos,USA
Admirável mundo novo,Aldous Huxley,312,Distopia / Ficção científica / Literatura Estrangeira / Romance ,4.3,72973,7844,1932,M,Reino Unido,GBR
A Sutil Arte de Ligar o F*da-se,Mark Manson,224,Autoajuda ,3.7,43880,1925,2016,M,Estados Unidos,USA
Mindset,Carol S. Dweck,310,Psicologia ,4.0,9748,471,2006,F,Estados Unidos,USA
Forrest Gump,Winston Groom,392,Drama / Literatura Estrangeira / Romance ,4.2,3260,420,1986,M,Estados Unidos,USA
Harry Potter e as Relíquias da Morte,J.K. Rowling,592,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,445047,42331,2007,F,Reino Unido,GBR
Toda Luz que Não Podemos Ver,Anthony Doerr,526,Ficção / Literatura Estrangeira / Romance ,4.3,11476,1743,2014,M,Estados Unidos,USA
Os catadores de conchas,Rosamunde Pilcher,632,Ficção / Literatura Estrangeira / Romance ,4.3,3971,550,1988,F,Reino Unido,GBR
Vidas Secas,Graciliano Ramos,175,Romance / Ficção / Literatura Brasileira ,4.0,108624,4352,1938,M,Brasil,BRA
A Revolução dos Bichos,George Orwell,152,Ficção / Distopia / Literatura Estrangeira ,4.4,292860,17485,1945,M,Reino Unido,GBR
O Diário de Anne Frank,Francise Prose,350,"Literatura Estrangeira / Biografia, Autobiografia, Memórias / Drama / Não-ficção ",4.5,327752,20035,1947,F,Estados Unidos,USA
O Menino do Pijama Listrado,Oliver Jeffers,190,Literatura Estrangeira / Romance / Drama / Ficção ,4.4,337744,13418,2006,M,Irlanda,IRL
Marley & Eu,John Grogan,303,Animais de Estimação / Drama / Ficção / Literatura Estrangeira / Romance ,4.3,208949,10117,2005,M,Estados Unidos,USA
As Aventuras de Pi,Yann Martel,424,Literatura Estrangeira / Aventura / Fábula / Ficção / Filosofia / Religião e Espiritualidade / Romance ,4.1,8149,881,2001,M,Espanha,ESP
Harry Potter e o Enigma do Príncipe,J.K. Rowling,472,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.7,460809,39651,2005,F,Reino Unido,GBR
A Menina que Roubava Livros,Markus Zusak,480,Drama / Ficção / Literatura Estrangeira / Romance / História ,4.5,420199,42659,2005,M,Austrália,AUS
A Culpa é das Estrelas,John Green,288,Literatura Estrangeira / Romance ,4.2,605630,37343,2012,M,Estados Unidos,USA
O Pequeno Príncipe,Antoine de Saint-Exupéry,96,Infantil ,4.5,752777,50112,1943,M,Brasil,BRA
O Vendedor de Sonhos,Augusto Cury,296,Ficção / Literatura Brasileira / Romance / Psicologia ,3.8,68903,2605,2008,M,Brasil,BRA
A Menina Que Não Sabia Ler,John Harding,282,Ficção / Literatura Estrangeira / Romance ,3.6,40320,2333,2008,M,Reino Unido,GBR
Um Dia,David Nicholls,414,Romance / Literatura Estrangeira / Ficção / Jovem adulto ,4.1,61917,7995,2009,M,Reino Unido,GBR
Quarto,Emma Donoghue,350,Drama / Literatura Estrangeira / Romance ,4.4,9773,1506,2010,F,Irlanda,IRL
Laranja Mecânica,Anthony Burgess,224,Distopia / Ficção / Literatura Estrangeira ,4.4,43477,6439,1962,M,Reino Unido,GBR
Ensaio Sobre a Cegueira,José Saramago,312,Ficção / Literatura Estrangeira / Romance ,4.6,69917,8338,1995,M,Portugal,PRT
O incolor Tsukuru Tazaki e seus anos de peregrinação,Haruki Murakami,328,Ficção / Literatura Estrangeira / Romance ,4.2,2775,321,2013,M,Japão,JPN
O Apanhador no Campo de Centeio,J. D. Salinger,208,Ficção / Literatura Estrangeira / Romance ,4.0,44417,4799,1951,M,Estados Unidos,USA
Grandes esperanças,Charles Dickens,704,Ficção / Literatura Estrangeira / Romance ,4.4,4963,832,1861,M,Reino Unido,GBR
Harry Potter e a Pedra Filosofal,J.K. Rowling,224,Aventura / Fantasia / Literatura Estrangeira / Ficção / Infantojuvenil ,4.5,714357,52054,1997,F,Reino Unido,GBR
Limpe Sua Mente,S.J. Scott,155,Autoajuda ,3.6,44,2,2016,M,Estados Unidos,USA
Quatro vidas de um cachorro,W. Bruce Cameron,288,Ficção / Romance / Animais de Estimação / Literatura Estrangeira ,4.4,12000,1603,2010,M,Estados Unidos,USA
A Garota Que Você Deixou Para Trás,Jojo Moyes,384,Romance / Ficção / Literatura Estrangeira ,4.3,28476,3175,2012,F,Reino Unido,GBR
O Homem Invisível,H. G. Wells,176,Literatura Estrangeira / Romance / Ficção científica,3.6,6162,183,1897,M,Reino Unido,GBR
Por que vivemos,Kentetsu Takamori,320,Literatura Estrangeira / Religião e Espiritualidade / Autoajuda / Não-ficção,3.5,41,3,2017,M,Japão,JPN
